PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c1 train 1 OCJ aligned aligned
c1 train 2 NYN phase-click-late15 misaligned
c1 train 3 NYN aligned aligned
c1 train 4 OCJ phase-click-early15 misaligned
c1 main 1 HTH phase-click-early10 misaligned
c1 main 2 HTH aligned aligned
c1 main 3 ACL aligned aligned
c1 main 4 SMA aligned aligned
c1 main 5 KPS phase-click-early15 misaligned
c1 main 6 ACL phase-click-late10 aligned
c1 main 7 HTH aligned aligned
c1 main 8 ACL aligned aligned
c1 main 9 ACL aligned aligned
c1 main 10 ACL phase-click-late15 misaligned
c1 main 11 HTH phase-click-early15 misaligned
c1 main 12 SMA aligned aligned
c1 main 13 SMA phase-click-late15 misaligned
c1 main 14 SMA phase-click-late10 aligned
c1 main 15 HSG aligned aligned
c1 main 16 HTH phase-click-late15 misaligned
c1 main 17 HSG aligned aligned
c1 main 18 HSG phase-click-late10 misaligned
c1 main 19 HSG phase-click-early10 misaligned
c1 main 20 HTH aligned aligned
c1 main 21 HSG aligned aligned
c1 main 22 ACL phase-click-early15 misaligned
c1 main 23 KPS aligned aligned
c1 main 24 SMA aligned aligned
c1 main 25 HSG aligned aligned
c1 main 26 KPS aligned aligned
c1 main 27 HSG phase-click-early15 misaligned
c1 main 28 HTH aligned aligned
c1 main 29 HTH phase-click-late10 misaligned
c1 main 30 SMA phase-click-early10 aligned
c1 main 31 KPS phase-click-late10 misaligned
c1 main 32 ACL phase-click-early10 aligned
c1 main 33 SMA phase-click-early15 aligned
c1 main 34 KPS aligned aligned
c1 main 35 SMA aligned aligned
c1 main 36 HSG phase-click-late15 misaligned
c1 main 37 KPS aligned aligned
c1 main 38 ACL aligned aligned
c1 main 39 KPS phase-click-early10 misaligned
c1 main 40 KPS phase-click-late15 misaligned
c2 train 1 NYN aligned aligned
c2 train 2 OCJ aligned aligned
c2 train 3 NYN phase-click-late15 misaligned
c2 train 4 OCJ phase-click-early15 misaligned
c2 main 1 ACL aligned aligned
c2 main 2 HSG phase-click-late10 misaligned
c2 main 3 SMA aligned aligned
c2 main 4 SMA phase-click-late10 misaligned
c2 main 5 SMA aligned aligned
c2 main 6 KPS phase-click-late15 misaligned
