id,gender,age,handedness,hearing_problems_current,hearing_problems_past,absolute_pitch,german_speak,german_comprehend,german_read,german_write,english_speak,english_comprehend,english_read,english_write,french_read,french_comprehend,french_read,french_write,language4_speak,language4_comprehend,language4_read,language4_write,hörtraining,music_training_harmonics,music_training_composition,music_training_analytics,music_training_history,music_training_other,music_training_improv,melodic_stability,listen_preference1_genre,listen_preference1_duration,listen_preference2_genre,listen_preference2_duration,listen_preference3_genre,listen_preference3_duration,background_preference1_genre,background_preference1_duration,background_preference2_genre,background_preference2_duration,background_preference3_genre,background_preference3_duration,concert_preference1_genre,concert_preference1_duration,concert_preference2_genre,concert_preference2_duration,concert_preference3_genre,concert_preference3_duration,favorite_music_examples,musician,music_lover,musician_style1,musician_style2,musician_style3,musician_instruments,musician_improv,musician_improv_style,musician_conductor,musician_other_activities,musician_act1,musician_act1_duration,musician_act1_startage,musician_act1_endage,musician_act2,musician_act2_duration,musician_act2_startage,musician_act2_endage,musician_act3,musician_act3_duration,musician_act3_startage,musician_act3_endage,forrest_seen,forrest_seen_dist,forrest_seen_count,forrest_seen_languages,forrest_ad_known,forrest_ad_rating,forrest_ad_storydepth,forrest_ad_fatigue,forrest_ad_feeling,forrest_ad_artist_count,audioq1,audioq2,audioq3,audioq4,audioq5,audioq6,audioq7,audioq8
1,m,30-35,r,n,n,1,3,3,3,3,2,2,2,2,0,0,0,0,,,,,3,7,0,7,7,0,0,3,Triphop,4,Alternative Pop,2,Downbeat,2,Downbeat,4,Triphop,3,,,,,,,,,Portishead; Johnny Cash; Massive Attack,n,y,,,,,,,,,,,,,,,,,,,,,y,24,5,german; english,n,2,3,2,3,15,2,2,1,1,3,3,2,2
2,m,30-35,r,n,n,2,3,3,3,3,3,3,3,3,0,0,0,0,,,,,,,,,,,,3,Bluegrass,1,Organ music,0.25,,,Movie Soundtracks,15,Metal,2,Pop,1,,,,,,,,n,y,,,,,,,,,,,,,,,,,,,,,y,0.5,6,german; english,y,4,3,1,3,20,4,4,4,3,4,4,3,3
3,f,20-25,r,n,y,2,3,3,3,3,3,3,3,3,1,1,1,0,,,,,,,,,,,,2,Classical,3,Pop+Rock,2,Jazz,0.5,Pop+Rock,,Classical,,,,Pop+Rock,,Classical,,,,Radio-Musik; David Garrett; Michael Jackson,n,y,,,,,,,,,,,,,,,,,,,,,n,,,,n,4,4,1,4,10,3,4,4,4,4,4,4,3
4,f,20-25,r,n,n,3,3,3,3,3,2,3,3,2,0,0,0,0,2,2,2,2,5,5,5,2,2,,2,3,Rock,5,Pop,5,,,Rock,10,Latin,3,,,Rock,5/year,Classical,1-2/year,,,Billy Talent; Biffy Clyro; Buena Vista Social Club,y,,Jazz,Classical,Film score,clarinet; bass clarinet; piano,y,Jazz,y,,piano,30,7,8,clarinet,40,11,ongoing,bass clarinet,20,14,18,n,,0,german,n,3,4,2,4,10,3,3,3,3,3,3,3,3
5,m,25-30,r,n,n,3,3,3,3,3,2,3,3,2,0,0,0,0,,,,,,,,,,7,,2,Charts (Pop;Dance),7,Trance,3,Techno,1,Charts,5,Trance,2,Techno,1,Ska,12/year,Techno/Electro,4-6/year,,,,y,,Classical,Folk,,keyboard,n,,n,Djing,keyboard,25,10,19,DJ,30,18,26,,,,,y,72,2,german,n,3,3,2,4,5,4,4,4,4,4,4,4,4
6,m,20-25,r,n,n,1,3,3,3,3,3,3,3,2,0,0,0,0,,,,,,,,,,,,3,Rock,,Metal,,Electro,,Electro,,Rock,,Jazz,,Rock,,Metal,,Electro,,White Stripes; Biffy Clyro; Muse ; Oasis; Volbeat; Daft Punk; Deadmau5; Metallica,y,,Rock,Metal,Blues,guitar,y,Rock/Blues,n,,guitar,,16,ongoing,guitar (band),,18,22,,,,,y,36,12,german; english,y,4,4,1,4,20,4,3,3,4,4,3,4,3
7,m,20-25,r,n,n,2,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,2,Ambient,4,Soundtracks,2,Hip Hop,1,Ambient,24,Electro,6,Metall,3,Metall,,,,,,Prypjat Syndrome; Wumpscut; Combichrist; Juno Reactor; System of a Down; Volbeat,n,,,,,,,,,,,,,,,,,,,,,,y,36,3,german,n,3,3,2,3,10,3,2,2,2,3,3,2,3
8,f,20-25,r,n,n,1,3,3,3,3,2,3,3,2,1,1,1,1,,,,,,,,,,,,2,Rock/Deutschrock,20,Metal,15,Indie,5,Rock,,Audiobooks,,,,Rock,,,,,,die Ärzte; Frei.Wild; HIM; Bullet for my Valentine; Die Toten Hosen,n,y,,,,,,,,,guitar,20,6,12,clarinet,15,10,13,,,,,y,60,2,german,n,2,3,2,3,10,4,3,4,4,3,4,4,4
9,m,30-35,r,n,n,2,3,3,3,3,2,2,2,2,0,0,0,0,,,,,,,,,,,,2,Metal,2,EBM,2,Gothic Rock,1,Metal,2.6,EBM,2.6,Gothic Rock Darkwave,2.6,EBM,2-3/year,Darkwave Gothik,3-4/year,Irish Folk,,Sabaton; Hammerfall; Amon Amarth; Powerwolf; Blutengel; Nightwish; Fiedlers Green; Gothminiskr; Grendal; Feindflug; Welle-Erdball,y,,Folk,Traditionals,,guitar; keyboard,n,,n,,guitar,3,28,,,,,,,,,,y,0,1,german,n,3,3,2,4,10,3,3,3,3,3,3,3,3
10,f,20-25,r,n,n,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,,,,,,,,3,Alternative/Rock,2.5,Instrumental,1,Gothic/New Wave,2,Instrumental,3,Metal,0.5,Rock,0.5,,,,,,,"The Rasmus; Evanescence, Nightwish, Xandria; Juli; Dax Johnson; Yan Tierssen; 4 Jahreszeiten; Inverno Porteno",n,y,,,,recorder; transverse flute,n,,n,vocalist,recorder,8,6,10,transverse flute,8,9,10,vocalist,11,6,13,y,24,1,german,n,4,4,1,4,5,4,3,4,4,3,4,4,4
